date,month,day,close,closer,diff,perc,country,garb
2020-02-18,02,18,25223.51,25224,103,0.4100155249,Italy,"25,223.51"
2020-02-19,02,19,25477.55,25478,254,1.006977482,Italy,"25,477.55"
2020-02-20,02,20,25080.16,25080,-398,-1.562132035,Italy,"25,080.16"
2020-02-21,02,21,24773.15,24773,-307,-1.224082935,Italy,"24,773.15"
2020-02-24,02,24,23427.19,23427,-1346,-5.433334679,Italy,"23,427.19"
2020-02-25,02,25,23090.44,23090,-337,-1.43851112,Italy,"23,090.44"
2020-02-26,02,26,23422.54,23423,333,1.442182763,Italy,"23,422.54"
2020-02-27,02,27,22799.37,22799,-624,-2.664048158,Italy,"22,799.37"
2020-02-28,02,28,21984.21,21984,-815,-3.574718189,Italy,"21,984.21"
2020-03-02,03,02,21655.09,21655,-329,-1.49654294,Italy,"21,655.09"
2020-03-03,03,03,21748.2,21748,93,0.429462018,Italy,"21,748.20"
2020-03-04,03,04,21946.03,21946,198,0.9104285452,Italy,"21,946.03"
2020-03-05,03,05,21554.88,21555,-391,-1.781645858,Italy,"21,554.88"
2020-03-06,03,06,20799.89,20800,-755,-3.502667595,Italy,"20,799.89"
2020-03-09,03,09,18475.91,18476,-2324,-11.17307692,Italy,"18,475.91"
2020-03-10,03,10,17870.18,17870,-606,-3.279930721,Italy,"17,870.18"
2020-03-11,03,11,17928.64,17929,59,0.3301622832,Italy,"17,928.64"
2020-03-12,03,12,14894.44,14894,-3035,-16.9278822,Italy,"14,894.44"
2020-03-13,03,13,15954.29,15954,1060,7.11695985,Italy,"15,954.29"
2020-03-16,03,16,14980.34,14980,-974,-6.105052025,Italy,"14,980.34"
2020-03-17,03,17,15314.77,15315,335,2.236315087,Italy,"15,314.77"
2020-03-18,03,18,15120.48,15120,-195,-1.273261508,Italy,"15,120.48"
2020-03-19,03,19,15466.97,15467,347,2.294973545,Italy,"15,466.97"
2020-03-20,03,20,15731.85,15732,265,1.713325144,Italy,"15,731.85"
2020-03-23,03,23,15559.8,15560,-172,-1.093312993,Italy,"15,559.80"
2020-03-24,03,24,16948.6,16949,1389,8.926735219,Italy,"16,948.60"
2020-03-25,03,25,17243.68,17244,295,1.740515665,Italy,"17,243.68"
2020-03-26,03,26,17369.38,17369,125,0.7248898167,Italy,"17,369.38"
2020-03-27,03,27,16822.59,16823,-546,-3.143531579,Italy,"16,822.59"
2020-03-30,03,30,16872.41,16872,49,0.291267907,Italy,"16,872.41"
2020-03-31,03,31,17050.94,17051,179,1.06092935,Italy,"17,050.94"
2020-04-01,04,01,16544.97,16545,-506,-2.967567885,Italy,"16,544.97"
2020-04-02,04,02,16834.03,16834,289,1.746751284,Italy,"16,834.03"
2020-04-03,04,03,16384.35,16384,-450,-2.673161459,Italy,"16,384.35"
2020-04-04,04,04,16384.35,16384,0,0,Italy,"16,384.35"
2020-04-06,04,06,17039.31,17039,655,3.997802734,Italy,"17,039.31"
2020-04-07,04,07,17411.72,17412,373,2.189095604,Italy,"17,411.72"
2020-04-08,04,08,17380.82,17381,-31,-0.1780381346,Italy,"17,380.82"
2020-04-09,04,09,17621.62,17622,241,1.386571544,Italy,"17,621.62"
2020-04-10,04,10,17621.62,17622,0,0,Italy,"17,621.62"
2020-04-14,04,14,17558.43,17558,-64,-0.3631823857,Italy,"17,558.43"
2020-04-15,04,15,16719.07,16719,-839,-4.77844857,Italy,"16,719.07"
2020-04-16,04,16,16768.14,16768,49,0.2930797296,Italy,"16,768.14"
2020-04-17,04,17,17055.47,17055,287,1.711593511,Italy,"17,055.47"
2020-04-18,04,18,17055.47,17055,0,0,Italy,"17,055.47"
2020-04-20,04,20,17064.14,17064,9,0.05277044855,Italy,"17,064.14"
2020-04-21,04,21,16450.85,16451,-613,-3.592358181,Italy,"16,450.85"
2020-04-22,04,22,16765.28,16765,314,1.908698559,Italy,"16,765.28"
2020-04-23,04,23,17011.11,17011,246,1.467342678,Italy,"17,011.11"
2020-04-24,04,24,16858.89,16859,-152,-0.8935394745,Italy,"16,858.89"
2020-04-25,04,25,16858.89,16859,0,0,Italy,"16,858.89"
2020-04-27,04,27,17380.21,17380,521,3.090337505,Italy,"17,380.21"
2020-04-28,04,28,17677.15,17677,297,1.708860759,Italy,"17,677.15"
2020-04-29,04,29,18067.29,18067,390,2.206256718,Italy,"18,067.29"
2020-04-30,04,30,17690.49,17690,-377,-2.086677368,Italy,"17,690.49"
2020-05-01,05,01,17690.49,17690,0,0,Italy,"17,690.49"
2020-05-04,05,04,17035.61,17036,-654,-3.697003957,Italy,"17,035.61"
2020-05-05,05,05,17387.38,17387,351,2.060342803,Italy,"17,387.38"
2020-05-06,05,06,17159.31,17159,-228,-1.311324553,Italy,"17,159.31"
2020-05-07,05,07,17245.04,17245,86,0.5011947083,Italy,"17,245.04"
2020-05-08,05,08,17439.3,17439,194,1.124963758,Italy,"17,439.30"
2020-05-09,05,09,17439.3,17439,0,0,Italy,"17,439.30"
2020-05-11,05,11,17381.36,17381,-58,-0.3325878777,Italy,"17,381.36"
2020-05-12,05,12,17559.32,17559,178,1.024106783,Italy,"17,559.32"
2020-05-13,05,13,17183.44,17183,-376,-2.141352013,Italy,"17,183.44"
2020-05-14,05,14,16867.76,16868,-315,-1.83320724,Italy,"16,867.76"
2020-05-15,05,15,16852.35,16852,-16,-0.09485416173,Italy,"16,852.35"
2020-05-18,05,18,17401.45,17401,549,3.257773558,Italy,"17,401.45"
2020-01-02,01,02,7604.299805,7604,0,0,United_Kingdom,
2020-01-03,01,03,7622.399902,7622,18,0.2367175171,United_Kingdom,
2020-01-06,01,06,7575.299805,7575,-47,-0.6166360535,United_Kingdom,
2020-01-07,01,07,7573.899902,7574,-1,-0.01320132013,United_Kingdom,
2020-01-08,01,08,7574.899902,7575,1,0.01320306311,United_Kingdom,
2020-01-09,01,09,7598.100098,7598,23,0.303630363,United_Kingdom,
2020-01-10,01,10,7587.899902,7588,-10,-0.1316135825,United_Kingdom,
2020-01-13,01,13,7617.600098,7618,30,0.3953610965,United_Kingdom,
2020-01-14,01,14,7622.399902,7622,4,0.05250721974,United_Kingdom,
2020-01-15,01,15,7642.799805,7643,21,0.2755182367,United_Kingdom,
2020-01-16,01,16,7609.799805,7610,-33,-0.4317676305,United_Kingdom,
2020-01-17,01,17,7674.600098,7675,65,0.8541392904,United_Kingdom,
2020-01-20,01,20,7651.399902,7651,-24,-0.3127035831,United_Kingdom,
2020-01-21,01,21,7610.700195,7611,-40,-0.5228074761,United_Kingdom,
2020-01-22,01,22,7571.899902,7572,-39,-0.5124162397,United_Kingdom,
2020-01-23,01,23,7507.700195,7508,-64,-0.8452192287,United_Kingdom,
2020-01-24,01,24,7586.000000,7586,78,1.038891849,United_Kingdom,
2020-01-27,01,27,7412.100098,7412,-174,-2.293698919,United_Kingdom,
2020-01-28,01,28,7480.700195,7481,69,0.9309228278,United_Kingdom,
2020-01-29,01,29,7483.600098,7484,3,0.0401015907,United_Kingdom,
